date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:40	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2009%20Sep%202020%2002:20:10%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400.eot	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400.eot	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:41	648265/648265	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Sep%202020%2002:20:08%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-brands-400.svg	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-brands-400.svg	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:42	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2009%20Sep%202020%2002:20:10%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400-1.eot	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400-1.eot	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:42	14868/14868	---M--	200	added ('OK')	font/woff2	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400.woff2	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400.woff2	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:42	18168/18168	---M--	200	added ('OK')	font/woff	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400.woff	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400.woff	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:42	40348/40348	---M--	200	added ('OK')	font/ttf	date:Wed,%2009%20Sep%202020%2002:20:08%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400.ttf	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400.ttf	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:44	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-solid-900.eot	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-solid-900.eot	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:44	142267/142267	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-regular-400.svg	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-regular-400.svg	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:44	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-solid-900-1.eot	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-solid-900-1.eot	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:46	86876/86876	---M--	200	added ('OK')	font/woff	date:Wed,%2009%20Sep%202020%2002:20:08%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-solid-900.woff	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-solid-900.woff	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:46	67400/67400	---M--	200	added ('OK')	font/woff2	date:Wed,%2009%20Sep%202020%2002:20:10%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-solid-900.woff2	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-solid-900.woff2	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:47	180500/180500	---M--	200	added ('OK')	font/ttf	date:Wed,%2009%20Sep%202020%2002:20:06%20GMT	https://preview10.mobitren.com/fonts/webfonts/fa-solid-900.ttf	C:/xampp/htdocs/asterial/preview10.mobitren.com/fonts/webfonts/fa-solid-900.ttf	(from https://preview10.mobitren.com/fonts/css/fontawesome-all.min.css)
11:45:47	5624/5624	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2002:19:26%20GMT	https://preview10.mobitren.com/page-about.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/page-about.html	(from https://preview10.mobitren.com/index-pages.html)
11:45:47	6539/6539	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2002:19:26%20GMT	https://preview10.mobitren.com/page-calendar.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/page-calendar.html	(from https://preview10.mobitren.com/index-pages.html)
11:45:48	5051/5051	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2002:19:26%20GMT	https://preview10.mobitren.com/page-careers.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/page-careers.html	(from https://preview10.mobitren.com/index-pages.html)
11:45:48	5176/5176	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2002:19:26%20GMT	https://preview10.mobitren.com/page-chat.html	C:/xampp/htdocs/asterial/preview10.mobitren.com/page-chat.html	(from https://preview10.mobitren.com/index-pages.html)
